,titles,authors,ratings,num_ratings,id,img,description,pages,genre,format
6325,The Dead Stay Dumb,José Ortega y Gasset,3.47,221,1837657,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1326260610l/1837657.jpg, ,,set(),
6326,The Woman of the Pharisees,Dennis Wheatley,3.90,198,105401,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348044117l/105401.jpg, ,,set(),
6327,"A Touch of Mortality (Mitchell and Markby Village, #9)",Eleanor Dark,3.86,325,1911622,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347631172l/1911622.jpg, ,,set(),
6328,The Stranger,Albert Camus,3.97,622728,49552,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349927872l/49552.jpg, ,,set(),
6329,The Screwtape Letters,C.S. Lewis,4.22,302234,8130077,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476379778l/8130077._SY475_.jpg, ,,set(),
6330,"The Boxcar Children (The Boxcar Children, #1)",Gertrude Chandler Warner,4.10,111922,297249,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1173489650l/297249._SX318_.jpg, ,,set(),
6331,Chess Story,Stefan Zweig,4.29,55720,59151,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924796l/59151.jpg,"Chess Story, also known as The Royal Game, is the Austrian master Stefan Zweig's final achievement, completed in Brazilian exile and sent off to his American publisher only a matter of days before his suicide in 1942. It is the only story in which Zweig looks at Nazism, and he does so with characteristic emphasis on the psychological.  Travelers by ship from New York to Buenos Aires find that on board with them is the world champion of chess, an arrogant and unfriendly man. They come together to try their skills against him and are soundly defeated. Then a mysterious passenger steps forward to advise them and their fortunes change. How he came to possess his extraordinary grasp of the game of chess and at what cost lie at the heart of Zweig's story.  This new translation of Chess Story brings out the work's unusual mixture of high suspense and poignant reflection.",104 pages,"{'German Literature', 'Classics', 'Fiction', 'European Literature', 'Short Stories', 'Literature'}",
6332,"The Body in the Library (Miss Marple, #3)",Agatha Christie,3.85,56943,16319,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389733809l/16319.jpg, ,,set(),
6333,The Myth of Sisyphus and Other Essays,Albert Camus,4.20,37435,11987,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1533718219l/11987.jpg, ,,set(),
6334,Mythology,Edith Hamilton,4.00 ,41867,23522,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1305000423l/23522.jpg, ,,set(),
6335,The Poky Little Puppy,Janette Sebring Lowrey,4.10,70571,505304,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320424154l/505304.jpg, ,,set(),
6336,The Runaway Bunny,Margaret Wise Brown,4.10,62269,58922,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468816103l/58922._SX318_.jpg, ,,set(),
6337,West with the Night,Beryl Markham,4.19,27648,1624,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368204688l/1624.jpg, ,,set(),
6338,"Five Little Pigs (Hercule Poirot, #25)",Agatha Christie,3.99,35563,121648,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429422068l/121648.jpg, ,,set(),
6339,The Myth of Sisyphus,Albert Camus,4.15,18778,91950,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347654509l/91950._SY475_.jpg, ,,set(),
6340,The Little House,Virginia Lee Burton,4.29,37270,153540,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1363184334l/153540.jpg, ,,set(),
6341,"The Moving Finger (Miss Marple, #4)",Agatha Christie,3.85,25145,16341,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396227246l/16341.jpg, ,,set(),
6342,"Five on a Treasure Island (Famous Five, #1)",Enid Blyton,4.09,22374,17488,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408926754l/17488.jpg, ,,set(),
6343,The Robe,Lloyd C. Douglas,4.21,22432,219919,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436811107l/219919._SY475_.jpg, ,,set(),
6344,The Moon Is Down,John Steinbeck,3.89,18615,12722,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327961310l/12722.jpg, ,,set(),
6345,Embers,Sándor Márai,3.96,15756,783505,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344411743l/783505.jpg, ,,set(),
6346,Homer Price,Robert McCloskey,4.08,19730,766917,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348994806l/766917.jpg, ,,set(),
6347,"The High Window (Philip Marlowe, #3)",Raymond Chandler,4.07,15002,2049,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466754245l/2049._SY475_.jpg, ,,set(),
6348,Three Little Kittens,Masha,4.29,19777,327194,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1223263509l/327194.jpg, ,,set(),
6349,"Go Down, Moses",(Illustrator),3.93,8754,17726,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388191655l/17726.jpg, ,,set(),
6350,Dust Tracks on a Road,William Faulkner,4.11,5541,58399,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441480196l/58399._SY475_.jpg, ,,set(),
6351,Adam of the Road,Zora Neale Hurston,3.77,8424,164255,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348558311l/164255.jpg, ,,set(),
6352,"The Shooting Star (Tintin, #10)",Elizabeth Gray Vining,3.89,8921,146107,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1372596157l/146107.jpg, ,,set(),
6353,The Family of Pascual Duarte,Hergé,3.73,7430,71549,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386920462l/71549.jpg, ,,set(),
6354,"Capitalism, Socialism and Democracy",Camilo José Cela,4.04,2124,134798,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348714799l/134798.jpg, ,,set(),
6355,"Betsy and Tacy Go Over the Big Hill (Betsy-Tacy, #3)",Joseph Schumpeter,4.17,8020,7894,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392262536l/7894.jpg, ,,set(),
6356,Snow Treasure,Maud Hart Lovelace,3.97,5572,34601,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388334968l/34601.jpg, ,,set(),
6357,Mimesis: The Representation of Reality in Western Literature,Marie McSwigan,4.25,2925,80795,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388964005l/80795.jpg, ,,set(),
6358,"The Boxcar Children 1-4 (The Boxcar Children, #1-4)",Erich Auerbach,4.21,6621,93380,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388180931l/93380.jpg, ,,set(),
6359,"The Quest of the Missing Map (Nancy Drew Mystery Stories, #19)",Gertrude Chandler Warner,3.88,4357,48717,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924178l/48717.jpg, ,,set(),
6360,The Case for Christianity,Carolyn Keene,4.14,2384,415022,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174535171l/415022.jpg, ,,set(),
6361,Seventeenth Summer,C.S. Lewis,3.12,3870,270404,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390126099l/270404.jpg, ,,set(),
6362,The Art of Dramatic Writing: Its Basis in the Creative Interpretation of Human Motives,Maureen Daly,4.17,2220,106092,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1330500415l/106092.jpg, ,,set(),
6363,The Secret Life of Salvador Dalí,Lajos Egri,4.14,2152,91724,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328868326l/91724.jpg, ,,set(),
6364,The Skin of Our Teeth,Salvador Dalí,3.85,4195,196301,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410129670l/196301.jpg, ,,set(),
6365,Saturnin,Thornton Wilder,4.44,4101,1724928,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328697507l/1724928.jpg, ,,set(),
6366,"The Four-Story Mistake (The Melendy Family, #2)",Zdeněk Jirotka,4.26,4366,421642,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312232230l/421642.jpg, ,,set(),
6367,Cecily G. and the 9 Monkeys,Elizabeth Enright,4.11,1970,1902383,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347387183l/1902383.jpg, ,,set(),
6368,"Black Orchids (Nero Wolfe, #9)",H.A. Rey,4.12,4227,77596,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389051347l/77596.jpg, ,,set(),
6369,Laura,Rex Stout,4.01,2336,601799,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344733956l/601799.jpg, ,,set(),
6370,The Naughtiest Girl Again,Vera Caspary,3.97,3773,735708,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349962598l/735708.jpg, ,,set(),
6371,How to Cook a Wolf,Enid Blyton,4.19,2113,250693,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924783l/250693.jpg, ,,set(),
6372,Le Silence de la mer,M.F.K. Fisher,3.92,2986,385185,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431348236l/385185.jpg, ,,set(),
6373,The Famous Five [4 Adventures],Vercors,4.34,3569,1115866,, ,,set(),
6374,Pied Piper,Enid Blyton,4.20,2981,107315,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333748557l/107315.jpg, ,,set(),
6375,We Took to the Woods,Nevil Shute,4.21,1655,637330,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348673295l/637330.jpg, ,,set(),
6376,Das siebte Kreuz,Louise Dickinson Rich,3.91,1774,1769122,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1350925090l/1769122.jpg, ,,set(),
6377,Winter's Tales,Anna Seghers,3.91,1818,12969,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403192411l/12969.jpg, ,,set(),
6378,The Uninvited,Isak Dinesen,4.03,850,3564508,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383148006l/3564508.jpg, ,,set(),
6379,Gigi,Dorothy Macardle,3.72,1275,258945,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1173214292l/258945.jpg, ,,set(),
6380,Our Hearts Were Young and Gay: An Unforgettable Comic Chronicle of Innocents Abroad in the 1920s,Colette,4.10,1597,251882,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1535152193l/251882._SY475_.jpg, ,,set(),
6381,"The Middle Moffat (The Moffats, #2)",Cornelia Otis Skinner,3.99,2739,42335,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389996368l/42335.jpg, ,,set(),
6382,Flight to Arras,Eleanor Estes,3.91,1985,157996,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457789308l/157996._SY475_.jpg, ,,set(),
6383,The Little Red Lighthouse and the Great Gray Bridge,Antoine de Saint-Exupéry,4.26,2415,18860,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1470925790l/18860._SX318_.jpg, ,,set(),
6384,Crazy Horse: The Strange Man of the Oglalas,Hildegarde Hoyt Swift,4.25,1288,57579,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328818023l/57579.jpg, ,,set(),
6385,Mere Christianity and The Screwtape Letters,Mari Sandoz,4.40,2038,11140,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1264684687l/11140.jpg, ,,set(),
6386,Now and on Earth,C.S. Lewis,3.70,846,19161901,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403187992l/19161901.jpg, ,,set(),
6387,Principles of Anatomy and Physiology,Jim Thompson,4.14,888,45839,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386920827l/45839.jpg, ,,set(),
6388,Put Out More Flags,Gerard J. Tortora,3.79,1843,105187,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344265300l/105187.jpg, ,,set(),
6389,Rear Window,Evelyn Waugh,4.06,1321,439162,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328048664l/439162.jpg, ,,set(),
6390,Complete Novels: Red Harvest / The Dain Curse / The Maltese Falcon / The Glass Key / The Thin Man,Cornell Woolrich,4.40,1965,29997,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347596938l/29997.jpg, ,,set(),
6391,Cross Creek,Dashiell Hammett,4.06,1556,93485,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375646659l/93485.jpg, ,,set(),
6392,"Cherry Ames, Student Nurse (Cherry Ames, #1)",Marjorie Kinnan Rawlings,3.96,2170,510011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349058607l/510011.jpg, ,,set(),
6393,Baudelaire: Poems,Helen Wells,4.31,1390,203221,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320500804l/203221.jpg, ,,set(),
6394,The Collected Poems of Alberto Caeiro,Charles Baudelaire,4.39,1829,905084,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347288742l/905084.jpg, ,,set(),
6395,Islandia,Fernando Pessoa,4.32,529,897461,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348815833l/897461.jpg, ,,set(),
6396,"Dragon's Teeth (World's End Lanny Budd, #3)",Austin Tappan Wright,3.94,518,39078166,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520471454l/39078166._SY475_.jpg, ,,set(),
6397,Penhallow,Upton Sinclair,3.08,1579,311190,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320460141l/311190.jpg, ,,set(),
6398,The Robber Bridegroom,Georgette Heyer,3.56,1238,870455,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328664552l/870455.jpg, ,,set(),
6399,"The Clue of the Broken Blade (Hardy Boys, #21)",Eudora Welty,3.78,1639,76933,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1537488223l/76933._SY475_.jpg, ,,set(),
6400,A Preface to Paradise Lost,Franklin W. Dixon,4.26,790,207546,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347999313l/207546.jpg, ,,set(),
6401,The Company She Keeps,C.S. Lewis,3.73,680,80055,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382940856l/80055.jpg, ,,set(),
6402,A Time to Be Born,Mary McCarthy,3.94,673,180378,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347726416l/180378.jpg, ,,set(),
6403,Poetics of Music in the Form of Six Lessons,Dawn Powell,4.11,1035,13275,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386925331l/13275.jpg, ,,set(),
6404,The Death of the Moth and Other Essays,Igor Stravinsky,4.17,726,785075,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347714582l/785075.jpg, ,,set(),
6405,Dragon's Teeth I,Virginia Woolf,3.71,475,54844,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386923757l/54844.jpg, ,,set(),
6406,The Little Grey Men,Upton Sinclair,4.09,1116,84644,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355131659l/84644.jpg, ,,set(),
6407,The Works of Henry David Thoreau,B.B.,4.38,341,835295,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1313326164l/835295.jpg, ,,set(),
6408,30 Days to a More Powerful Vocabulary,Henry David Thoreau,4.04,490,305787,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387669534l/305787.jpg, ,,set(),
6409,They Loved to Laugh,Wilfred Funk,4.17,971,596355,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1282970387l/596355.jpg, ,,set(),
6410,Self-Analysis,Kathryn Worth,4.03,551,104702,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1171523138l/104702._SY475_.jpg, ,,set(),
6411,El corazón de piedra verde,Karen Horney,4.28,1008,830176,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440583079l/830176._SX318_.jpg, ,,set(),
6412,"The Cellars of the Majestic (Maigret, #20)",Salvador de Madariaga,3.77,1130,24662030,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1425721079l/24662030.jpg, ,,set(),
6413,Gobbolino The Witch's Cat,Georges Simenon,4.17,1025,440601,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347670783l/440601.jpg, ,,set(),
6414,Poems,Ursula Moray Williams,3.83,916,4194,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1245520858l/4194.jpg, ,,set(),
6415,The Widow,Hermann Hesse,3.83,689,1646958,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320524596l/1646958.jpg, ,,set(),
6416,The Art of Seeing,Georges Simenon,3.68,421,5133,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386925057l/5133.jpg, ,,set(),
6417,Paradise Lost and Other Poems,Aldous Huxley,3.99,781,449008,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174869853l/449008.jpg, ,,set(),
6418,Marshmallow,John Milton,4.07,968,1147790,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364321133l/1147790.jpg, ,,set(),
6419,Tree in the Trail,Clare Turlay Newberry,4.17,947,729625,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348335031l/729625.jpg, ,,set(),
6420,The Function of the Orgasm (Discovery of the Orgone #1),Holling Clancy Holling,4.06,433,339389,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391143635l/339389.jpg,"This book describes Reich's medical and scientific work on the living organism from his first efforts at the Medical School of the University of Vienna in 1919 to the laboratory experiments in Oslo in 1939 which revealed the existence of a radiating biological energy, orgone energy.  The subject of ""sexuality"" is basic to this work, and Reich shows clearly its importance for human life and its relevance in understanding the social problems of our time.",400 pages,"{'Psychology', 'Philosophy', 'Science', 'Sexuality', 'Psychoanalysis', 'Nonfiction'}",
6421,The Life Divine,Wilhelm Reich,4.51,320,581256,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1226548612l/581256.jpg, ,,set(),
6422,Water and Dreams: An Essay on the Imagination of Matter,Sri Aurobindo,4.21,341,141912,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1172131797l/141912.jpg, ,,set(),
6423,பெண் ஏன் அடிமையானாள்?,Gaston Bachelard,4.23,299,5054659,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397113792l/5054659.jpg, ,,set(),
6424,"Escape on Venus (Venus, #4)",ஈ.வெ.ரா பெரியார் [Periyar],3.70,833,1397239,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1317168822l/1397239.jpg,"Escape on Venus is the fourth book in the Venus series (Sometimes called the ""Carson Napier of Venus series"") by Edgar Rice Burroughs. It consists of four interconnected stories published in Fantasic Adventures between 1941 and 1942: ""Slaves of the Fishmen,"" ""Goddess of Fire,"" ""The Living Dead,"" and ""War on Venus."" A collected edition of these stories was published in 1946. The copyright for this story has expired in Australia, and thus now resides in the public domain there. The text is available via Project Gutenberg Australia.",222 pages,"{'Fantasy', 'Adventure', 'Fiction', 'Pulp', 'Science Fiction'}",
6425,The Children of Willow Farm,Edgar Rice Burroughs,4.11,928,995067,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387737535l/995067.jpg, ,,set(),
6426,Spitfire Pilot: A Personal Account of the Battle of Britain,Enid Blyton,4.06,903,27799636,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1447245792l/27799636._SY475_.jpg, ,,set(),
6427,Paul Revere and the World He Lived In,David M. Crook,4.17,295,452657,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404956151l/452657.jpg, ,,set(),
6428,Mormon Country,Esther Forbes,3.95,576,14899,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388305816l/14899.jpg, ,,set(),
6429,Six Problems for Don Isidro Parodi,Wallace Stegner,3.60,725,1209756,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1321636666l/1209756.jpg, ,,set(),
6430,El oso,Jorge Luis Borges,3.39,603,200183,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1378070243l/200183.jpg, ,,set(),
6431,Theory of Literature,William Faulkner,3.75,346,926984,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1179517576l/926984.jpg, ,,set(),
6432,Amerigo: A Comedy of Errors in History,René Wellek,3.86,798,712997,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336204887l/712997.jpg, ,,set(),
6433,Pierrot Mon Ami,Stefan Zweig,3.88,501,424760,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327879967l/424760.jpg, ,,set(),
6434,Phantom Lady,Raymond Queneau,3.92,570,484110,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1175135973l/484110.jpg, ,,set(),
6435,The Case of the Drowning Duck,Cornell Woolrich,3.88,793,1697614,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387669343l/1697614.jpg,"A dead man in the kitchen, gas fumes permeates the house, a duck seem to be drowning in the fishbowl, but it didn't die. Maybe that fact has something to do with",214 pages,"{'Mystery Thriller', 'Thriller', 'Detective', 'Fiction', 'Mystery', 'Crime', 'Novels'}",
6436,The Last Enemy,Erle Stanley Gardner,3.81,805,1433045,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1183550785l/1433045.jpg, ,,set(),
6437,The Persian War,Richard Hillary,4.04,439,1370,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347644332l/1370.jpg, ,,set(),
6438,The Elizabethan World Picture,Herodotus,3.80,583,590047,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403187098l/590047.jpg, ,,set(),
6439,Never Come Morning,Eustace Mandeville Wetenhall Tillyard,4.15,474,350869,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347787525l/350869.jpg, ,,set(),
6440,Admiral of the Ocean Sea: A Life of Christopher Columbus,Nelson Algren,4.08,351,1413941,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348247485l/1413941.jpg, ,,set(),
6441,Donovan's Brain,Samuel Eliot Morison,3.71,331,973214,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347417643l/973214.jpg, ,,set(),
6442,The Case of the Careless Kitten,Curt Siodmak,3.75,599,1697613,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387728167l/1697613.jpg, ,,set(),
6443,Biology,Erle Stanley Gardner,3.90,329,264156,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389312240l/264156.jpg, ,,set(),
6444,"Cécile is Dead (Maigret, #22)",Peter H. Raven,3.76,591,24662015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1425721294l/24662015.jpg, ,,set(),
6445,Bombs Away,Georges Simenon,3.12,326,486666,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1211316827l/486666.jpg, ,,set(),
6446,I Saw The Fall Of The Philippines,John Steinbeck,3.92,137,9300677,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1527142072l/9300677.jpg, ,,set(),
6447,"The Diary of ""Helena Morley""",Carlos P. Romulo,3.74,476,1400747,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311983008l/1400747.jpg, ,,set(),
6448,Twig,Helena Morley,4.20,429,674640,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387710859l/674640.jpg, ,,set(),
6449,Poezii,Elizabeth Orton Jones,4.30,744,4953407,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428972204l/4953407.jpg, ,,set(),
6450,My World And Welcome To It,Lucian Blaga,4.15,549,161057,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1521828272l/161057.jpg, ,,set(),
6451,You Never Know with Women,James Thurber,3.72,264,6765826,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348694690l/6765826.jpg, ,,set(),
6452,Memoirs of Hecate County,James Hadley Chase,3.75,221,275343,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431706925l/275343._SY475_.jpg, ,,set(),
6453,Behind the Urals: An American Worker in Russia's City of Steel,Edmund Wilson,3.71,470,1144334,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383166541l/1144334.jpg, ,,set(),
6454,"Astounding Science-Fiction, March 1942",John Scott,3.96,236,40226511,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1527499903l/40226511.jpg, ,,set(),
6455,303 Squadron: The Legendary Battle of Britain Fighter Squadron,John W. Campbell Jr.,3.69,602,9507997,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347232558l/9507997._SX318_SY475_.jpg, ,,set(),
6456,The Raft,(Editor),4.08,439,1231843,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348817529l/1231843.jpg, ,,set(),
6457,The Valley Of Decision,Arkady Fiedler,4.25,353,136456,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1450235831l/136456.jpg, ,,set(),
6458,The Nature of Things,Robert Trumbull,3.85,314,418054,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387709642l/418054.jpg, ,,set(),
6459,The Film Sense,Marcia Davenport,4.01,299,291225,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382946263l/291225.jpg, ,,set(),
6460,Maigret et la jeune morte,Francis Ponge,3.73,471,2024256,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565631676l/2024256.jpg, ,,set(),
6461,George Washington: Our First Leader,Sergei Eisenstein,3.75,515,107743,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347567121l/107743.jpg, ,,set(),
6462,Dialogue with Death,Georges Simenon,4.14,323,145588,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1317316688l/145588.jpg, ,,set(),
6463,یادداشت‌های شخصی یک سرباز,Augusta Stevenson,3.37,476,2432404,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1281099232l/2432404.jpg, ,,set(),
6464,Eve,Arthur Koestler,3.36,357,1066065,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360399793l/1066065.jpg, ,,set(),
6465,Usage and Abusage: A Guide to Good English,J.D. Salinger,3.96,183,915353,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348633216l/915353.jpg, ,,set(),
6466,One Pair of Feet,James Hadley Chase,3.91,400,2398014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1496509642l/2398014.jpg, ,,set(),
6467,Spitfire!: The Experiences of a Battle of Britain Fighter Pilot,Eric Partridge,3.76,590,28335176,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451064844l/28335176._SY475_.jpg, ,,set(),
6468,"Calamity Town (Ellery Queen Detective, #16)",Monica Dickens,3.77,399,145800,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494537612l/145800._SY475_.jpg, ,,set(),
6469,"Tragedy at Law (Francis Pettigrew, #1)",B.J. Ellan,3.78,384,1003527,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180139752l/1003527.jpg, ,,set(),
6470,Airman's Odyssey,(Pseudonym),4.17,196,8843,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438642790l/8843._SY475_.jpg, ,,set(),
6471,"Philosophy in a New Key: A Study in the Symbolism of Reason, Rite, and Art",Ellery Queen,4.11,204,421727,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348285486l/421727.jpg, ,,set(),
