titles,authors,ratings,num_ratings,id,img,description,genre,format,page,isbn,au_ge,key_words,bow
Options,Rafael Sabatini,3.99,74 ratings,6435452,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348172752l/6435452.jpg,"O. Henry is the pen name of American writer William Sydney Porter (1862-1910). Porter's 400 short stories are known for their wit, wordplay, characterization and the clever use of twist endings. He travelled to Austin in 1884, where he took a number of different jobs over the next several years, first as pharmacist then as a draftsman, bank teller and journalist. He also began writing as a sideline to employment. Porter's most prolific writing period started in 1902, when he moved to New York City to be near his publishers. He wrote 381 short stories while living there. He wrote a story a week for over a year for the New York World Sunday Magazine. His wit, characterization and plot twists were adored by his readers, but often panned by the critics. Yet, he went on to gain international recognition and is credited with defining the short story as a literary art form. His works include: Cabbages and Kings (1904), The Four Million (1906), Heart of the West (1907), The Trimmed Lamp and Other Stories of the Four Million (1907), The Voice of the City: Further Stories of the Four Million (1908), The Gentle Grafter (1908) and Roads of Destiny (1909).","Short Stories, Classics, Fiction, Classics, Classic Literature",paperback,188.0,9781406594324.0,rafaelsabatini shortstories classics fiction classics classicliterature,draftsman bank teller known gain international recognition story wrote critics yet took new york city often panned journalist prolific writing period started four million heart roads travelled living stories number different jobs sideline clever use short gentle grafter adored defining publishers next several years first destiny near pharmacist also began employment porters american writer william sydney porter wit wordplay characterization year week went credited trimmed lamp henry austin plot twists works include cabbages moved pen name twist endings world sunday magazine kings voice readers west literary art form,rafaelsabatini shortstories classics fiction classics classicliterature draftsman bank teller known gain international recognition story wrote critics yet took new york city often panned journalist prolific writing period started four million heart roads travelled living stories number different jobs sideline clever use short gentle grafter adored defining publishers next several years first destiny near pharmacist also began employment porters american writer william sydney porter wit wordplay characterization year week went credited trimmed lamp henry austin plot twists works include cabbages moved pen name twist endings world sunday magazine kings voice readers west literary art form
"Aunt Jane's Nieces at Work (Aunt Jane's Nieces, #4)",O. Henry,3.79,70 ratings,6362193,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1238103052l/6362193.jpg,"Trajectory presents classics of world literature with 21st century features! Our original-text editions include the following visual enhancements to foster a deeper understanding of the work: Word Clouds at the start of each chapter highlight important words. Word, sentence, paragraph counts, and reading time help readers and teachers determine chapter complexity. Co-occurrence graphs depict character-to-character interactions as well character to place interactions. Sentiment indexes identify positive and negative trends in mood within each chapter. Frequency graphs help display the impact this book has had on popular culture since its original date of publication. Use Trajectory analytics to deepen comprehension, to provide a focus for discussions and writing assignments, and to engage new readers with some of the greatest stories ever told. ""Aunt Jane's Nieces at Work"" by Lyman Frank Baum is part of the ""Aunt Jane's Nieces"" series. Written in 1909, this children's book is about three nieces Louise, Elizabeth and Patsy who work for their uncle's election as he runs for State Legislator.","Fiction, Classics, Young Adult",hardcover,298.0,,ohenry fiction classics youngadult,part greatest stories ever told aunt janes nieces lyman frank baum work word clouds series written reading time help readers writing assignments original text editions include st century features world literature provide popular culture since focus discussions start mood within deepen comprehension negative trends place interactions sentiment indexes identify positive deeper understanding character impact book date childrens state legislator three louise elizabeth teachers determine chapter complexity co occurrence graphs depict engage new well following visual enhancements foster uncles election runs frequency display publication use trajectory analytics presents classics patsy highlight important words sentence paragraph counts,ohenry fiction classics youngadult part greatest stories ever told aunt janes nieces lyman frank baum work word clouds series written reading time help readers writing assignments original text editions include st century features world literature provide popular culture since focus discussions start mood within deepen comprehension negative trends place interactions sentiment indexes identify positive deeper understanding character impact book date childrens state legislator three louise elizabeth teachers determine chapter complexity co occurrence graphs depict engage new well following visual enhancements foster uncles election runs frequency display publication use trajectory analytics presents classics patsy highlight important words sentence paragraph counts
Beasley's Christmas Party,Edith Van Dyne,3.96,75 ratings,6385003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1239106858l/6385003.jpg,"A melodramatic folksy Christmas story, a little like Dickens - with a Tiny Tim, but also with some romance. Tarkington's writings are very much set in his early 1900s American culture. We are meant to sympathize with the crippled child but not even notice the slights to the black servants. Still, Tarkington promotes kindness and uses a milder style of humor than many authors of his day. (Arnold Banner)","Holiday, Christmas, Fiction, Short Stories, Classics",hardcover,99.0,,edithvandyne holiday christmas fiction shortstories classics,uses day arnold banner humor black servants still tarkington promotes kindness melodramatic folksy christmas story many authors much set milder style sympathize meant crippled child slights also romance tarkingtons writings early american culture tiny tim little like dickens even notice,edithvandyne holiday christmas fiction shortstories classics uses day arnold banner humor black servants still tarkington promotes kindness melodramatic folksy christmas story many authors much set milder style sympathize meant crippled child slights also romance tarkingtons writings early american culture tiny tim little like dickens even notice
Curiosities of the Sky,(Pseudonym),3.17,35 ratings,5626416,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328306364l/5626416.jpg,"Curiosities of the Sky is a newly annotated edition of the 1909 popular astronomy classic. All of the original text, photographs and diagrams are preserved, and new text added providing updates in the progress of astronomy since the book was first published. Garrett Serviss wrote with a firm understanding of the science of the period. He was also graced with a delightful imagination and unequaled power of poetic expression in describing the wonders and mysteries of the universe. A few of the topics covered: * The strange unfixedness of the `fixed stars.' * The slow passing of the constellations. * The assembly of stars in immense clouds, swarms, and clusters. * The starless gaps in the Milky Way. * The marvelous phenomena of new, or temporary, stars. * The amazing forms of the whirlpool, spiral, pinwheel, and lace, or tress, nebulae. * The strange surroundings of the Sun. * The mystery of the Zodiacal Light and the Gegenschein. * The extraordinary transformations of comets and their tails. * The prodigies of meteorites and masses of stone and metal fallen from the sky. * The cataclysms that have wrecked the moon. * The problem of life and intelligence on Mars. * The problematical origin and fate of the asteroids. * The strange phenomena of the auroral lights.","Science, Science, Astronomy",,,,(pseudonym) science science astronomy,wrecked fate universe newly annotated edition asteroids new sky meteorites astronomy since fixed stars gegenschein firm understanding amazing forms diagrams prodigies constellations delightful imagination starless gaps preserved moon strange unfixedness stone curiosities milky way problem tails intelligence metal fallen slow passing original text photographs cataclysms describing period wonders whirlpool spiral pinwheel book temporary marvelous phenomena first published garrett serviss wrote clusters masses assembly popular classic zodiacal light problematical origin poetic expression mars lace mystery extraordinary transformations auroral lights unequaled power comets progress also graced sun life added providing updates science mysteries topics covered surroundings immense clouds swarms tress nebulae,(pseudonym) science science astronomy wrecked fate universe newly annotated edition asteroids new sky meteorites astronomy since fixed stars gegenschein firm understanding amazing forms diagrams prodigies constellations delightful imagination starless gaps preserved moon strange unfixedness stone curiosities milky way problem tails intelligence metal fallen slow passing original text photographs cataclysms describing period wonders whirlpool spiral pinwheel book temporary marvelous phenomena first published garrett serviss wrote clusters masses assembly popular classic zodiacal light problematical origin poetic expression mars lace mystery extraordinary transformations auroral lights unequaled power comets progress also graced sun life added providing updates science mysteries topics covered surroundings immense clouds swarms tress nebulae
Chivalry,Booth Tarkington,3.68,40 ratings,385809,,,,,,,,,
The Island Pharisees,Garrett P. Serviss,3.79,61 ratings,1069228,,,,,,,,,
The Hidden Church of the Holy Graal,James Branch Cabell,3.86,29 ratings,2436684,,,,,,,,,
The Ancient Greek Historians,John Galsworthy,3.83,30 ratings,860592,,,,,,,,,
Tree of Knowledge,Arthur Edward Waite,3.27,37 ratings,5041959,,,,,,,,,
"Egoists, A Book Of Supermen: Stendhal, Baudelaire, Flaubert, Anatole France, Huysmans, Barrès, Nietzsche, Blake, Ibsen, Stirner, And Ernest Hello",John Bagnell Bury,4.37,19 ratings,781684,,,,,,,,,
Greek Thinkers: A History of Ancient Philosophy,Henry James,4.11,19 ratings,2903632,,,,,,,,,
زن زیادی,James Huneker,3.45,31 ratings,6256895,,,,,,,,,
Barty Crusoe and His Man Saturday,Theodor Gomperz,3.14,14 ratings,5845285,,,,,,,,,
Novels of Anatole France: Penguin Island/Crime of Sylvestre Bonnard/Revolt of the Angels,Anton Chekhov,4.62,13 ratings,346025,,,,,,,,,
The Missioner,Frances Hodgson Burnett,3.84,19 ratings,964153,,,,,,,,,
Keziah Coffin,Anatole France,4.30,23 ratings,947214,,,,,,,,,
Abaft the Funnel,E. Phillips Oppenheim,3.05,22 ratings,3167715,,,,,,,,,
Valor of Ignorance,Joseph Crosby Lincoln,4.09,11 ratings,111870,,,,,,,,,
"Lives of Themistocles, Aristides, Pericles, Alcibiades & Coriolanus, Demosthenes & Cicero, Caesar & Antony",Rudyard Kipling,4.42,12 ratings,6507985,,,,,,,,,
The New York Edition of Henry James: The Aspern Papers/The Turn of the Screw/The Liar/The Two Faces,Homer Lea,3.94,17 ratings,1350016,,,,,,,,,
The Evolution of Life and Form,Plutarch,3.45,11 ratings,2188544,,,,,,,,,
"Betty Wales & Co. (Betty Wales, #6)",Henry James,3.92,13 ratings,6480591,,,,,,,,,
The Need of Change,Annie Besant,4.27,11 ratings,1740072,,,,,,,,,
Chinese Immigration,Margaret Warde,4.67,3 ratings,1895199,,,,,,,,,
"A Little Journey to the Home of James Oliver, Great Business Men",Julian Street,4.20,5 ratings,5962452,,,,,,,,,
Barbara Bellamy - A Public School Girl,Mary Roberts Coolidge,it w,0 avg rating — 1 rating,10988304,,,,,,,,,
Personal Religion in Egypt before Christianity,Elbert Hubbard,4.00 ,1 rating,909884,,,,,,,,,
The Fairy Latchkey,May Baldwin,0.00,0 ratings,4311482,,,,,,,,,
Howards End,E.M. Forster,3.96,"71,948 ratings",38374795,,,,,,,,,
The Selected Poetry of Rainer Maria Rilke,Rainer Maria Rilke,4.40,"12,630 ratings",46201,,,,,,,,,
The Notebooks of Malte Laurids Brigge,Rainer Maria Rilke,4.03,"6,674 ratings",93405,,,,,,,,,
The Emerald City of Oz (Oz #6),L. Frank Baum,3.88,"9,110 ratings",179668,,,,,,,,,
Kilmeny of the Orchard,L.M. Montgomery,3.68,"6,453 ratings",65769,,,,,,,,,
Gora,Rabindranath Tagore,4.23,"3,100 ratings",1268541,,,,,,,,,
The Ransom of Red Chief,O. Henry,4.15,"5,541 ratings",963839,,,,,,,,,
The Wendigo,Algernon Blackwood,3.87,"3,466 ratings",1137702,,,,,,,,,
The Vagabond,Colette,3.96,"2,267 ratings",89842,,,,,,,,,
A Good Man in Africa,William Boyd,3.85,"3,625 ratings",77837,,,,,,,,,
The Tale of Mrs. Tittlemouse,Beatrix Potter,3.97,"3,384 ratings",885498,,,,,,,,,
Creative Evolution,Henri Bergson,4.10,"1,010 ratings",379659,,,,,,,,,
"Psmith in the City (Psmith, #2)",P.G. Wodehouse,4.07,"3,038 ratings",149812,,,,,,,,,
The Magic City,E. Nesbit,3.97,"1,823 ratings",97089,,,,,,,,,
"Carnacki, the Ghost Finder",William Hope Hodgson,3.77,"1,816 ratings",345563,,,,,,,,,
The History of Mr. Polly,H.G. Wells,3.63,"1,414 ratings",483583,,,,,,,,,
The Family from One End Street,Eve Garnett,4.04,"1,920 ratings",594970,,,,,,,,,
The Blue Afternoon,William Boyd,3.77,"2,289 ratings",77850,,,,,,,,,
"Don't Tell Alfred (Radlett & Montdore, #3)",Nancy Mitford,3.59,"1,745 ratings",50727,,,,,,,,,
Calculus Made Easy,Silvanus Phillips Thompson,4.20,875 ratings,818063,,,,,,,,,
The Pictorial Key to the Tarot,Arthur Edward Waite,3.71,"1,501 ratings",529520,,,,,,,,,
The Getting of Wisdom,Henry Handel Richardson,3.52,"1,256 ratings",673234,,,,,,,,,
Old Mother West Wind,Thornton W. Burgess,4.15,"1,150 ratings",825750,,,,,,,,,
Time and Free Will,Henri Bergson,3.99,537 ratings,379661,,,,,,,,,
Burning Daylight,Jack London,4.03,"1,016 ratings",1382939,,,,,,,,,
November,Gustave Flaubert,3.75,758 ratings,125324,,,,,,,,,
Stars and Bars,William Boyd,3.44,"1,332 ratings",880192,,,,,,,,,
813,Maurice Leblanc,4.01,876 ratings,141271,,,,,,,,,
Wild Fire,Zane Grey,3.97,998 ratings,121276,,,,,,,,,
Prester John,John Buchan,3.62,810 ratings,161002,,,,,,,,,
The Extraordinary Cases of Sherlock Holmes,Arthur Conan Doyle,4.21,696 ratings,18942,,,,,,,,,
A Dreamer's Tales,Lord Dunsany,4.04,559 ratings,1375285,,,,,,,,,
The Heritage of the Desert,Zane Grey,3.87,725 ratings,2213652,,,,,,,,,
Rewards and Fairies,Rudyard Kipling,3.83,342 ratings,1496343,,,,,,,,,
The Great Illusion,Norman Angell,3.37,70 ratings,2462426,,,,,,,,,
Morning Star,H. Rider Haggard,3.66,380 ratings,1030195,,,,,,,,,
Clayhanger,Arnold Bennett,4.02,350 ratings,1327976,,,,,,,,,
Fairy Tales Of Wilhelm Hauff,Wilhelm Hauff,4.37,461 ratings,1608083,,,,,,,,,
African Game Trails: An Account of the African Wanderings of an American Hunter-Naturalist,Theodore Roosevelt,4.00 ,239 ratings,912747,,,,,,,,,
Queen Sheba's Ring,H. Rider Haggard,3.75,345 ratings,6328817,,,,,,,,,
Stories of the Pilgrims,Margaret Pumphrey,3.87,265 ratings,1903504,,,,,,,,,
"Tom Swift and His Motor-Cycle, or, Fun and Adventures on the Road (Tom Swift Sr, #1)",Victor Appleton,3.58,326 ratings,1641263,,,,,,,,,
The Return,Walter de la Mare,3.22,160 ratings,837413,,,,,,,,,
Selected Letters,Seneca,4.13,162 ratings,7624728,,,,,,,,,
The Young Forester,Zane Grey,3.85,162 ratings,7797619,,,,,,,,,
"Tom Swift and His Submarine Boat (Tom Swift Sr, #4)",Victor Appleton,3.76,200 ratings,1691160,,,,,,,,,
Justice,John Galsworthy,3.51,100 ratings,2989553,,,,,,,,,
Hopalong Cassidy,Clarence E. Mulford,3.91,115 ratings,2990751,,,,,,,,,
The Nicest Girl in the School,Angela Brazil,3.67,131 ratings,5981163,,,,,,,,,
Molly Make-Believe,Eleanor Hallowell Abbott,3.87,118 ratings,13448479,,,,,,,,,
The Whites and the Blues,Alexandre Dumas,3.76,51 ratings,115309,,,,,,,,,
The Sleeping Beauty and Other Fairy Tales from the Old French,Arthur Quiller-Couch,3.96,75 ratings,1969606,,,,,,,,,
Reginald in Russia and Other Sketches,(Translator),3.93,132 ratings,6818300,,,,,,,,,
Whirligigs,Saki,3.63,79 ratings,5494385,,,,,,,,,
"The Human Chord by Algernon Blackwood, Fiction",O. Henry,3.47,72 ratings,6149884,,,,,,,,,
The Three Mulla-Mulgars,Algernon Blackwood,3.84,45 ratings,4493667,,,,,,,,,
The Danger Trail,Walter de la Mare,3.66,100 ratings,3246719,,,,,,,,,
"Aunt Jane's Nieces in Society (Aunt Jane's Nieces, #5)",James Oliver Curwood,3.46,67 ratings,3964943,,,,,,,,,
A Marriage Under the Terror,Edith Van Dyne,3.08,63 ratings,7693713,,,,,,,,,
The Story of the Wind Children,(Pseudonym),4.21,71 ratings,1717206,,,,,,,,,
A Concise Dictionary of Old Icelandic,Patricia Wentworth,4.65,55 ratings,556463,,,,,,,,,
Helen with the High Hand - An Idyllic Diversion,Sibylle von Olfers,4.04,51 ratings,8985440,,,,,,,,,
A Vagabond Journey Around the World,Geir T. Zoëga,4.19,21 ratings,805377,,,,,,,,,
A Doll's House and Two Other Plays,Arnold Bennett,3.58,73 ratings,157531,,,,,,,,,
The Rover Boys at College,Harry A. Franck,3.94,54 ratings,8505984,,,,,,,,,
Lectures on the French Revolution,Henrik Ibsen,4.05,19 ratings,4880969,,,,,,,,,
Oliver Cromwell,Arthur M. Winfield,3.60,15 ratings,3720201,,,,,,,,,
The River and I,John Emerich Edward Dalberg-Acton,3.63,41 ratings,2128492,,,,,,,,,
Elementarz,Theodore Roosevelt,4.72,54 ratings,6731519,,,,,,,,,
My Mark Twain,John G. Neihardt,3.60,30 ratings,1000962,,,,,,,,,
The Oxford Book of Ballads,Marian Falski,4.00 ,23 ratings,3308210,,,,,,,,,
His Hour,William Dean Howells,3.39,36 ratings,2705670,,,,,,,,,
Mary Ware in Texas,Arthur Quiller-Couch,4.22,37 ratings,1901044,,,,,,,,,
Regeneration,Elinor Glyn,3.07,14 ratings,8701725,,,,,,,,,
Wiry,Annie Fellows Johnston,3.63,27 ratings,1904956,,,,,,,,,
French and English Philosophers: Descartes/Rousseau/Voltaire/Hobbes (Harvard Classics 34),H. Rider Haggard,4.36,14 ratings,622147,,,,,,,,,
The Strangest Story Ever Told,Henryk Sienkiewicz,3.72,25 ratings,2634450,,,,,,,,,
The Party System,Charles William Eliot,4.07,14 ratings,1902750,,,,,,,,,
I vampiri della metropoli,(Editor),3.05,21 ratings,9801231,,,,,,,,,
Elizabethan Drama,Thomas D. Colp,4.30,10 ratings,2571523,,,,,,,,,
Jack's Insects,Hilaire Belloc,like,rating — 10 ratings,5840903,,,,,,,,,
The Illustrious Prince,Edgar Wallace,3.33,18 ratings,948849,,,,,,,,,
Myths and legends of the British,Christopher Marlowe,3.54,13 ratings,1176177,,,,,,,,,
The Pony Rider Boys in Montana,Edmund Selous,3.74,23 ratings,2525234,,,,,,,,,
Master of the Vineyard,E. Phillips Oppenheim,3.91,22 ratings,2579924,,,,,,,,,
Lectures and Essays by Thomas Henry Huxley,Maud Isabel Ebbutt,4.22,9 ratings,3278041,,,,,,,,,
Mary Cary,Frank Gee Patchin,4.12,25 ratings,11336764,,,,,,,,,
Nietzsche: His Life and Works,Myrtle Reed,3.83,12 ratings,6458945,,,,,,,,,
Dick Prescott's First Year at West Point,Thomas Henry Huxley,3.87,23 ratings,2391334,,,,,,,,,
Soldiers of Misfortune,Kate Langley Bosher,3.79,24 ratings,2567639,,,,,,,,,
The Poems of Eugene Field,Anthony Mario Ludovici,4.50,14 ratings,2624442,,,,,,,,,
Ambergris: A Selection from the Poems of Aleister Crowley,H. Irving Hancock,3.67,9 ratings,6651170,,,,,,,,,
"The World's One Hundred Best Short Stories, Vol. 1: Adventure",P.C. Wren,3.67,9 ratings,3245210,,,,,,,,,
"Pushing to the Front, Volume II",Eugene Field,4.50,4 ratings,7551186,,,,,,,,,
Etheldreda the Ready,Aleister Crowley,3.27,15 ratings,4597768,,,,,,,,,
A History and Description of Roman Political Institutions,Grant M. Overton,3.71,7 ratings,779972,,,,,,,,,
The Dweller on the Threshold,Orison Swett Marden,2.30,10 ratings,6327643,,,,,,,,,
A Girl of the People,Mrs. George de Horne Vaizey,3.50,6 ratings,3741372,,,,,,,,,
To Win the Love He Sought,Frank Frost Abbott,3.80,10 ratings,959528,,,,,,,,,
Dave Porter at Star Ranch,Robert Smythe Hichens,3.90,10 ratings,6730854,,,,,,,,,
Europe Since 1815,L.T. Meade,4.25,4 ratings,2636927,,,,,,,,,
"Betty Wales on the Campus (Betty Wales, #7)",E. Phillips Oppenheim,3.55,11 ratings,6480537,,,,,,,,,
"The Motor Girls on a Tour; or, Keeping a Strange Promise",Edward Stratemeyer,3.20,10 ratings,4669241,,,,,,,,,
The Gist Of Nietzsche,Charles Downer Hazen,3.14,7 ratings,1585444,,,,,,,,,
"When Sarah Went To School (Sarah Wenner, #2)",Margaret Warde,3.12,8 ratings,4331702,,,,,,,,,
The Hut in the Forest,Margaret Penrose,3.40,5 ratings,1369786,,,,,,,,,
Hester's Counterpart: A Story of Boarding School Life,Friedrich Nietzsche,like,rating — 3 ratings,6477077,,,,,,,,,
Gaelic Folk Tales,Elsie Singmaster,4.00 ,5 ratings,6372162,,,,,,,,,
Sarah's School Friend,Bettina Stietencron,4.33,3 ratings,5947023,,,,,,,,,
"A Dangerous Inheritance, or, Sydney's Fortune",(Illustrations),4.00 ,3 ratings,4459953,,,,,,,,,
Extract from Captain Stormfield's Visit to Heaven/Is Shakespeare Dead?,Jean K. Baird,3.25,4 ratings,1045375,,,,,,,,,
Hearts and Coronets: A Story for Young People,Mary Grant O'Sheridan,3.75,4 ratings,3996522,,,,,,,,,
Fairy Stories Every Child Should Know,May Baldwin,it w,0 avg rating — 2 ratings,6674903,,,,,,,,,
"The Encyclopedia Americana, Volume 23 Pumps to Russellville",Alice Wilson Fox,4.00 ,3 ratings,2737795,,,,,,,,,
Maradick at Forty: A Transition,Mark Twain,4.17,6 ratings,6525886,,,,,,,,,
History of the Young Women's Mutual Improvement Association,Alice Wilson Fox,4.00 ,1 rating,2947536,,,,,,,,,
Outline of Philosophy part II,Kate Douglas Wiggin,like,rating — 1 rating,2270923,,,,,,,,,
Rosa Regina: A Story for Girls,Americana Corporation,0.00,0 ratings,4459159,,,,,,,,,
Four Boys in the Yosemite (1911),Hugh Walpole,3.50,2 ratings,6802559,,,,,,,,,
Outline of Literature part I,Susa Young Gates,did ,00 avg rating — 1 rating,2270839,,,,,,,,,
Autobiography of Allen Jay,Charles Gray Shaw,3.50,2 ratings,3770082,,,,,,,,,
The Phantom of the Opera,Gaston Leroux,3.97,"187,025 ratings",480204,,,,,,,,,
Concerning the Spiritual in Art,Wassily Kandinsky,3.81,"73,117 ratings",857502,,,,,,,,,
Ethan Frome,Edith Wharton,3.39,"101,461 ratings",5246,,,,,,,,,
The Secret Garden,Frances Hodgson Burnett,4.13,"826,927 ratings",2998,,,,,,,,,
"The Innocence of Father Brown (Father Brown, #1)",G.K. Chesterton,3.85,"12,381 ratings",184591,,,,,,,,,
The Unabridged Devil's Dictionary,Ambrose Bierce,4.11,"8,811 ratings",49256,,,,,,,,,
Ethan Frome and Other Short Fiction,Edith Wharton,3.66,"14,890 ratings",212525,,,,,,,,,
My First Summer in the Sierra,John Muir,4.11,"4,862 ratings",238727,,,,,,,,,
Hadji Murad,Leo Tolstoy,3.84,"7,800 ratings",135060,,,,,,,,,
"The Story Girl (The Story Girl, #1)",L.M. Montgomery,3.98,"8,878 ratings",821099,,,,,,,,,
Zuleika Dobson,Max Beerbohm,3.54,"4,226 ratings",778463,,,,,,,,,
The Scarlet Plague,Jack London,3.60,"4,056 ratings",1201864,,,,,,,,,
El árbol de la ciencia,Pío Baroja,3.72,"4,996 ratings",276859,,,,,,,,,
"The Wisdom of Father Brown (Father Brown, #2)",G.K. Chesterton,3.87,"4,058 ratings",184441,,,,,,,,,
Celtic Myths and Legends,T.W. Rolleston,3.93,"2,587 ratings",839793,,,,,,,,,
"Fantômas (Fantômas, #1)",Marcel Allain,3.68,"1,685 ratings",657537,,,,,,,,,
O Triste Fim de Policarpo Quaresma,Lima Barreto,3.67,"3,001 ratings",830875,,,,,,,,,
The Montessori Method,Maria Montessori,4.07,"1,120 ratings",372408,,,,,,,,,
Mysticism: A Study in the Nature and Development of Spiritual Consciousness,Evelyn Underhill,4.05,"1,373 ratings",193586,,,,,,,,,
Jennie Gerhardt,Theodore Dreiser,4.03,"2,478 ratings",307794,,,,,,,,,
The Door in the Wall,H.G. Wells,3.85,"1,536 ratings",275779,,,,,,,,,
Mother,Kathleen Thompson Norris,3.95,"1,508 ratings",880529,,,,,,,,,
The Tale of Timmy Tiptoes,Beatrix Potter,3.90,"1,834 ratings",885512,,,,,,,,,
Twenty Years at Hull House,Jane Addams,3.60,"1,024 ratings",132936,,,,,,,,,
Il Giornalino di Gian Burrasca,Luigi Bertelli,3.82,"2,088 ratings",9676964,,,,,,,,,
South Sea Tales,Jack London,3.87,"1,657 ratings",349429,,,,,,,,,
The Harvester,Gene Stratton-Porter,4.20,"1,620 ratings",823515,,,,,,,,,
The Handbook of Nature Study,Anna Botsford Comstock,4.34,"1,297 ratings",660581,,,,,,,,,
The Sea Fairies,L. Frank Baum,3.75,973 ratings,358488,,,,,,,,,
"The Philosophical Writings of Descartes, Volume I",René Descartes,4.10,"1,297 ratings",103870,,,,,,,,,
Riders to the Sea,J.M. Synge,3.53,"1,412 ratings",12104,,,,,,,,,
Creek Mary's Blood,Dee Brown,4.21,869 ratings,625007,,,,,,,,,
The Dictionary of Accepted Ideas,Gustave Flaubert,3.86,869 ratings,2185,,,,,,,,,
Hearts of Three,Jack London,4.07,"1,323 ratings",670774,,,,,,,,,
The Principles of Scientific Management,Frederick Winslow Taylor,3.63,549 ratings,958259,,,,,,,,,
The Book of Ceremonial Magic,Arthur Edward Waite,3.78,498 ratings,2727141,,,,,,,,,
The Kingdom and the Power: Behind the Scenes at The New York Times: The Institution That Influences the World,Gay Talese,4.02,402 ratings,113855,,,,,,,,,
Jenny,Sigrid Undset,3.78,622 ratings,6222,,,,,,,,,
The Soul of the Indian,Charles Alexander Eastman,4.13,565 ratings,231900,,,,,,,,,
In a German Pension: 13 Stories,Katherine Mansfield,3.73,729 ratings,752805,,,,,,,,,
Just Patty,Jean Webster,3.74,680 ratings,1738699,,,,,,,,,
The Chronicles of Clovis,Saki,4.12,721 ratings,937219,,,,,,,,,
The Celestial Omnibus and other Stories,E.M. Forster,3.80,632 ratings,51464,,,,,,,,,
Reflections on Violence,Georges Sorel,3.59,253 ratings,328676,,,,,,,,,
Alraune,Hanns Heinz Ewers,4.03,392 ratings,3350473,,,,,,,,,
The Eye of Osiris (Dr. Thorndyke Mysteries #3),R. Austin Freeman,3.80,575 ratings,1832032,,,,,,,,,
The White Peacock,D.H. Lawrence,3.40,418 ratings,778729,,,,,,,,,
Mother Carey's Chickens,Kate Douglas Wiggin,4.15,407 ratings,19357,,,,,,,,,
Quest for Fire,J.H. Rosny Aîné,3.81,411 ratings,2005466,,,,,,,,,
A Texas Ranger,William MacLeod Raine,3.71,559 ratings,18857620,,,,,,,,,
Nonsense Novels,Stephen Leacock,3.88,359 ratings,88258,,,,,,,,,
The Battle for Investment Survival,Gerald M. Loeb,4.04,211 ratings,350675,,,,,,,,,
Las inquietudes de Shanti Andía,Pío Baroja,3.84,431 ratings,855872,,,,,,,,,
Scottish Ghost Stories,Elliott O'Donnell,3.44,270 ratings,17938435,,,,,,,,,
Ralph 124C 41+: A Romance of the Year 2660,Hugo Gernsback,2.80,205 ratings,898388,,,,,,,,,
The Quest of the Silver Fleece,W.E.B. Du Bois,4.01,248 ratings,360824,,,,,,,,,
Juha,Juhani Aho,3.26,502 ratings,3788411,,,,,,,,,
The Wonder,J.D. Beresford,3.34,171 ratings,23594907,,,,,,,,,
Miss Billy,Eleanor H. Porter,3.60,352 ratings,11207968,,,,,,,,,
The Vision and the Voice: With Commentary and Other Papers (Equinox IV:2),Aleister Crowley,4.42,186 ratings,703017,,,,,,,,,
Jedermann. Das Spiel vom Sterben des reichen Mannes,Hugo von Hofmannsthal,3.52,359 ratings,2067501,,,,,,,,,
No Surrender,Constance Elizabeth Maud,3.88,128 ratings,12438237,,,,,,,,,
Where We Got The Bible: Our Debt to the Catholic Church,Henry Grey Graham,4.31,218 ratings,663261,,,,,,,,,
Paths to Power,A.W. Tozer,4.51,152 ratings,447955,,,,,,,,,
When God Laughs and Other Stories,Jack London,4.15,245 ratings,12412849,,,,,,,,,
The Winning of Barbara Worth,Harold Bell Wright,3.88,232 ratings,1159798,,,,,,,,,
The Living Corpse,Leo Tolstoy,3.67,210 ratings,772253,,,,,,,,,
The Centaur,Algernon Blackwood,3.41,167 ratings,349136,,,,,,,,,
Wellen,Eduard von Keyserling,3.86,236 ratings,1987774,,,,,,,,,
Man of Smoke,Aldo Palazzeschi,3.83,230 ratings,2005251,,,,,,,,,
Mother West Wind's Children,Thornton W. Burgess,4.18,213 ratings,4020993,,,,,,,,,
MIND POWER: The Secret of Mental Magic,William Walker Atkinson,4.13,101 ratings,585448,,,,,,,,,
Dawn O'Hara: The Girl Who Laughed,Edna Ferber,3.86,188 ratings,1274116,,,,,,,,,
The Long Roll,Mary Johnston,3.83,64 ratings,1156922,,,,,,,,,
The Five Great Philosophies of Life,William De Witt Hyde,3.46,99 ratings,18813379,,,,,,,,,
The Abysmal Brute,Jack London,3.72,223 ratings,332333,,,,,,,,,
"My Life in Christ: Moments of Spiritual Serenity and Contemplation, of Reverent Feeling, of Earnest Self-Amendment, and of Peace in God: Extracts from the Diary of St. John of Kronstadt",John of Kronstadt,4.65,96 ratings,427609,,,,,,,,,
Practical Thinking,Edward de Bono,3.82,89 ratings,1211068,,,,,,,,,
The Lion's Skin,Rafael Sabatini,3.80,193 ratings,11846201,,,,,,,,,
The Mind of Primitive Man,Franz Boas,3.64,64 ratings,2225190,,,,,,,,,
